priority_tier,target_company,category,relevance,target_titles,east_coast_geo,google_xray_query,linkedin_people_search_url
1 - Direct S2P competitors,Coupa,Source-to-Pay suite,Closest competitor; same CFO/CPO buyer and deal motion,"VP Sales, RVP Sales, Area VP, Regional Sales Director, Enterprise Sales Director","NY, Boston, Atlanta, DC, Philly, Charlotte, Miami","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Area Vice President"" OR ""Sales Director"") Coupa (""New York"" OR Boston OR Atlanta OR ""Washington"" OR Philadelphia OR Charlotte OR Miami)","https://www.linkedin.com/search/results/people/?keywords=Coupa%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,Ivalua,Source-to-Pay suite,Direct Gartner MQ competitor; configurable S2P; same enterprise motion,"VP Sales, RVP, Regional VP, Enterprise Sales Director","NY, Boston, Atlanta, DC, Philly","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Sales Director"") Ivalua (""New York"" OR Boston OR Atlanta OR ""Washington"" OR Philadelphia)","https://www.linkedin.com/search/results/people/?keywords=Ivalua%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,GEP (GEP SMART),Source-to-Pay + managed services,Direct S2P competitor HQ NJ (East Coast talent pool),"VP Sales, SVP Sales, Regional VP, Client Partner","NJ, NY, Philly, Boston","site:linkedin.com/in (""VP Sales"" OR ""SVP Sales"" OR ""Regional Vice President"") GEP (""New Jersey"" OR ""New York"" OR Philadelphia OR Boston)","https://www.linkedin.com/search/results/people/?keywords=GEP%20%22VP%20Sales%22%20procurement&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,SAP Ariba,Source-to-Pay suite,Largest S2P network; deep bench of enterprise procurement sellers,"VP Sales, RVP, Regional Sales VP, Enterprise Account Executive Director","NY, Boston, DC, Atlanta","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Sales Director"") Ariba SAP (""New York"" OR Boston OR ""Washington"" OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=SAP%20Ariba%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,Zycus,Source-to-Pay suite,Direct S2P competitor; enterprise procurement sellers,"VP Sales, Regional VP, Sales Director","NJ, NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Zycus (""New Jersey"" OR ""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Zycus%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Zip (ziphq),Intake-to-procure / procurement orchestration,Hot procurement SaaS; aggressive enterprise GTM; CFO/CPO buyer,"VP Sales, RVP, Enterprise Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Enterprise Sales Director"") Zip (procurement OR intake) (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Zip%20procurement%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Tropic,Spend management / SaaS procurement,NYC-HQ spend-mgmt; East Coast sellers; same buyer,"VP Sales, Head of Sales, RVP","NYC","site:linkedin.com/in (""VP Sales"" OR ""Head of Sales"" OR ""Regional Vice President"") Tropic (procurement OR spend) ""New York""","https://www.linkedin.com/search/results/people/?keywords=Tropic%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Icertis,Contract lifecycle management (procurement adjacent),CLM into CPO/legal/finance; enterprise motion,"VP Sales, RVP, Regional VP","NY, Boston, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Icertis (""New York"" OR Boston OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Icertis%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Fairmarkit,Sourcing / tail-spend automation,Procurement sourcing; Boston-HQ East Coast pool,"VP Sales, Head of Sales, RVP","Boston, NY","site:linkedin.com/in (""VP Sales"" OR ""Head of Sales"") Fairmarkit (Boston OR ""New York"")","https://www.linkedin.com/search/results/people/?keywords=Fairmarkit%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Tradeshift,Procure-to-pay / supplier network,Supplier-network P2P; same CPO/CFO buyer,"VP Sales, Regional VP, Enterprise Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Tradeshift (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Tradeshift%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Medius,AP automation / spend management,Finance/AP automation into CFO; enterprise sellers,"VP Sales, RVP, Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Medius (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Medius%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Basware,Procure-to-pay / AP automation,P2P + AP into finance; enterprise procurement,"VP Sales, Regional VP, Sales Director","NY, Boston, Charlotte","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Basware (""New York"" OR Boston OR Charlotte)","https://www.linkedin.com/search/results/people/?keywords=Basware%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Sievo,Spend analytics,Spend analytics into CPO/CFO; enterprise,"VP Sales, Head of Sales North America","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Head of Sales"") Sievo (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Sievo%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Globality,AI-guided sourcing,Sourcing/services procurement; enterprise,"VP Sales, RVP","NY, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Globality (""New York"" OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Globality%20sourcing%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,LevelPath,Procurement orchestration,New procurement SaaS; hungry enterprise sellers,"VP Sales, Head of Sales","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Head of Sales"") Levelpath procurement","https://www.linkedin.com/search/results/people/?keywords=Levelpath%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
3 - Finance / spend fintech,AvidXchange,AP automation / payments,Charlotte-HQ (East Coast); CFO/finance buyer; large sales org,"VP Sales, RVP, Regional Sales Director","Charlotte, Atlanta, NY","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Sales Director"") AvidXchange (Charlotte OR Atlanta OR ""New York"")","https://www.linkedin.com/search/results/people/?keywords=AvidXchange%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
3 - Finance / spend fintech,Bill.com (BILL),AP/AR + spend,Finance-suite seller; mid-market to enterprise motion,"VP Sales, RVP, Sales Director","NY, Boston, Atlanta","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") BILL.com (""New York"" OR Boston OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=Bill.com%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
3 - Finance / spend fintech,Ramp,Spend management / corporate cards,NYC-HQ; elite enterprise sellers; CFO buyer,"VP Sales, Head of Enterprise Sales, RVP","NYC, Boston","site:linkedin.com/in (""VP Sales"" OR ""Head of Enterprise Sales"" OR ""Regional Vice President"") Ramp (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Ramp%20%22VP%20Sales%22%20spend&origin=GLOBAL_SEARCH_HEADER"
3 - Finance / spend fintech,Brex,Spend management / corporate cards,Enterprise spend; strong sales bench; CFO buyer,"VP Sales, RVP, Enterprise Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Brex (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Brex%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
3 - Finance / spend fintech,Tipalti,Payables automation / spend,Finance automation; enterprise sellers; CFO buyer,"VP Sales, RVP, Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Tipalti (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Tipalti%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
3 - Finance / spend fintech,Emburse,Expense / spend management,Spend/expense into finance; enterprise motion,"VP Sales, RVP, Regional Sales Director","NY, Boston, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Emburse (""New York"" OR Boston OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Emburse%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
3 - Finance / spend fintech,Navan,Travel & expense / spend,T&E + spend; strong enterprise GTM,"VP Sales, RVP, Enterprise Sales Director","NY, Boston, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Navan (""New York"" OR Boston OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Navan%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
4 - Supply chain SaaS,Coupa Supply Chain / e2open,Supply chain + sourcing,SCM into operations/procurement; enterprise,"VP Sales, RVP, Regional VP","NY, Atlanta, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") e2open (""New York"" OR Atlanta OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=e2open%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
4 - Supply chain SaaS,Kinaxis,Supply chain planning,SCM into ops/supply; enterprise complex deals,"VP Sales, RVP, Regional Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Kinaxis (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Kinaxis%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
4 - Supply chain SaaS,Blue Yonder,Supply chain execution,SCM enterprise; CPO/COO buyer overlap,"VP Sales, RVP, Regional VP","NY, Atlanta, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") ""Blue Yonder"" (""New York"" OR Atlanta OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Blue%20Yonder%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
4 - Supply chain SaaS,o9 Solutions,Supply chain / planning,Enterprise SCM; complex multi-stakeholder deals,"VP Sales, RVP, Regional VP","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") ""o9 Solutions"" (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=o9%20Solutions%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
4 - Supply chain SaaS,project44,Supply chain visibility,SCM SaaS; enterprise sellers; ops/supply buyer,"VP Sales, RVP, Regional Sales Director","NY, Atlanta","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") project44 (""New York"" OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=project44%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
4 - Supply chain SaaS,Manhattan Associates,Supply chain commerce,SCM enterprise; Atlanta-HQ East Coast pool,"VP Sales, RVP, Regional VP","Atlanta, NY, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") ""Manhattan Associates"" (Atlanta OR ""New York"" OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Manhattan%20Associates%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
5 - Enterprise ERP / office of CFO,Workday,ERP / financials / spend,Office-of-CFO platform; elite enterprise sales leaders,"VP Sales, RVP, Area VP","NY, Boston, DC, Atlanta","site:linkedin.com/in (""VP Sales"" OR ""Area Vice President"" OR ""Regional Vice President"") Workday (""New York"" OR Boston OR ""Washington"" OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=Workday%20%22Area%20Vice%20President%22%20Sales&origin=GLOBAL_SEARCH_HEADER"
5 - Enterprise ERP / office of CFO,Anaplan,Connected planning / finance,FP&A into office-of-CFO; complex enterprise deals,"VP Sales, RVP, Area VP","NY, Boston, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Anaplan (""New York"" OR Boston OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Anaplan%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
5 - Enterprise ERP / office of CFO,Oracle (Procurement Cloud / NetSuite),ERP procurement,ERP procurement sellers; deep enterprise bench,"VP Sales, RVP, Regional VP","NY, Boston, DC, Atlanta","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Oracle (procurement OR ""Fusion"") (""New York"" OR Boston OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=Oracle%20procurement%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
5 - Enterprise ERP / office of CFO,Infor,ERP / supply chain,ERP into manufacturing/ops; vertical overlap,"VP Sales, RVP, Regional VP","NY, Atlanta, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Infor (""New York"" OR Atlanta OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Infor%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
6 - Vertical-fit enterprise SaaS,Salesforce (Manufacturing/Public Sector cloud),Enterprise SaaS,Vertical GTM leaders matching JAGGAER verticals,"RVP, Area VP, Regional Sales VP","NY, Boston, DC, Atlanta","site:linkedin.com/in (""Regional Vice President"" OR ""Area Vice President"") Salesforce (Manufacturing OR ""Public Sector"") (""New York"" OR Boston OR ""Washington"" OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=Salesforce%20%22Area%20Vice%20President%22%20Manufacturing&origin=GLOBAL_SEARCH_HEADER"
6 - Vertical-fit enterprise SaaS,ServiceNow,Enterprise workflow SaaS,Public sector + enterprise sales leaders; CIO/COO buyer,"RVP, Area VP, Regional Sales VP","DC, NY, Atlanta","site:linkedin.com/in (""Regional Vice President"" OR ""Area Vice President"") ServiceNow (""Washington"" OR ""New York"" OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=ServiceNow%20%22Area%20Vice%20President%22%20Sales&origin=GLOBAL_SEARCH_HEADER"
6 - Vertical-fit enterprise SaaS,Veeva Systems,Life sciences SaaS,Life Sciences vertical match (JAGGAER target vertical),"VP Sales, RVP, Regional VP","NY, Boston, Philly","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Veeva (""New York"" OR Boston OR Philadelphia)","https://www.linkedin.com/search/results/people/?keywords=Veeva%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
6 - Vertical-fit enterprise SaaS,Ellucian,Higher Ed SaaS,Higher Education vertical match (JAGGAER target vertical),"VP Sales, RVP, Regional VP","DC, NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Ellucian (""Washington"" OR ""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Ellucian%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
